内容标题,链接,日期,类型
第17期「菜刀大法」-攻心营销学,https://t.zsxq.com/tHwpS,2025年11月21日,转化
第16期「菜刀大法」-如何提问？,https://t.zsxq.com/K2ceV,2025年6月30日,营销工具
第15期「菜刀大法」-不知道做什么，就用关键词铺稿！,https://t.zsxq.com/541fd,2024年12月13日,渠道
第14期「菜刀大法」-一次直播，讲清楚小红书流量入口。,https://t.zsxq.com/XvyTF,2024年8月28日,渠道
第13期「菜刀大法」-0基础0经验，如何做小红书店铺赚钱？,https://t.zsxq.com/8G2K6,2024年8月25日,渠道
第11期「菜刀大法」-如何使用搜索？,https://t.zsxq.com/9h8GM,2024年1月26日,营销工具
第 10 期「菜刀大法」-40天重塑自媒体IP并变现（逐字稿）,https://t.zsxq.com/Grzbn,2023年12月6日,IP
第09期「菜刀大法」-0基础不露脸如何做能赚钱的短视频,https://t.zsxq.com/LSNGO,2023年10月11日,渠道
第08期「菜刀大法」-如何定位？,https://t.zsxq.com/CCeYE,2023年9月13日,IP
第07期「菜刀大法」-如何提升转化率，赚到更多的钱！,https://t.zsxq.com/193SPdb1a,2023年8月15日,转化
第06期「菜刀大法」-如何0基础做到8700粉丝的小红书？,https://t.zsxq.com/qukA5,2023年5月26日,渠道
第05期「菜刀大法」-如何利用知乎赚钱？,https://t.zsxq.com/akaY9,2022年11月27日,渠道
第04期-「菜刀大法」如何利用知乎打造赚钱机器,https://t.zsxq.com/8eAEV,2022年10月10日,渠道